-4.326683,0.531,0.465977
-4.357531,0.475791,0.465
-4.390367,0.354,0.465278
-4.426407,0.177,0.465808
-4.437838,0,0.465881
-4.426398,-0.177,0.46569
-4.39042,-0.354,0.465405
-4.356738,-0.477987,0.465
-4.326623,-0.531,0.466122
-4.180679,0.697595,0.62
-4.29625,0.531,0.622374
-4.367757,0.354,0.621187
-4.403314,0.177,0.620334
-4.413986,0,0.62098
-4.403335,-0.177,0.620311
-4.367672,-0.354,0.621162
-4.296117,-0.531,0.622248
-4.180679,-0.697595,0.62
-4.269209,0.354,0.731427
-4.274175,0.177,0.789797
-4.270039,0,0.806495
-4.274126,-0.177,0.789845
-4.269262,-0.354,0.731346
-4.178406,0.531,0.734229
-4.18282,0.354,0.813434
-4.1842,0.177,0.851417
-4.187925,0,0.857381
-4.184174,-0.177,0.851434
-4.182836,-0.354,0.813308
-4.179218,-0.531,0.733616
-4.153294,0.531,0.774073
-4.090881,0.354,0.867708
-4.095971,0.177,0.891471
-4.096163,0,0.89819
-4.095947,-0.177,0.891428
-4.094443,-0.354,0.865686
-4.153252,-0.531,0.774064
-4.091083,0.531,0.841017
-4.003505,0.354,0.907198
-4.002534,0.177,0.927684
-4.006553,0,0.931614
-4.002518,-0.177,0.927674
-4.003587,-0.354,0.907579
-4.091084,-0.531,0.841013
-3.918504,0.354,0.941684
-3.924124,0.177,0.957236
-3.924361,0,0.962539
-3.924131,-0.177,0.95725
-3.918513,-0.354,0.941804
-3.826729,0.354,0.97815
-3.827703,0.177,0.994282
-3.828189,0,0.998026
-3.827721,-0.177,0.994276
-3.824563,-0.354,0.979018
-3.734617,0.531,0.977359
-3.735258,0.354,1.009889
-3.734792,0.177,1.01298
-3.734847,0,1.013499
-3.73489,-0.177,1.012965
-3.735039,-0.354,1.0101
-3.734368,-0.531,0.977446
-3.523289,0,1.041308
-3.082673,0.531,1.193899
-3.093778,0.354,1.209272
-3.088835,0.177,1.223796
-3.088967,0,1.227287
-3.094746,-0.177,1.220152
-3.093746,-0.354,1.209324
-3.082668,-0.531,1.193888
-2.647303,0.531,1.396822
-2.647079,0.354,1.422862
-2.646842,0.177,1.43651
-2.646904,0,1.440765
-2.646842,-0.177,1.436518
-2.647079,-0.354,1.422862
-2.647299,-0.531,1.396826
-3.986739,0.827003,0.465
-4.090856,0.782133,0.465
-3.987307,0.816267,0.62
-4.094338,0.773493,0.62
-4.089479,0.708,0.711628
-3.554103,0.880458,0.775
-3.737769,0.843177,0.775
